distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_stage_kp,n_good,good_ratio
haze,3.0,3.0,-4.564046168308607,P1207,7.549653330920897,93,9,2,0.2222222222222222
haze,3.0,3.0,-4.564046168308607,P1216,7.036070236256017,155,1,0,0.0
haze,3.0,3.0,-4.564046168308607,P1242,0.1965581279511151,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1358,-1.324456802364888,1000,985,615,0.6243654822335025
haze,3.0,3.0,-4.564046168308607,P1522,-7.027910854028823,1000,532,305,0.5733082706766918
haze,3.0,3.0,-4.564046168308607,P1676,-1.5124002810591255,536,70,25,0.35714285714285715
haze,3.0,3.0,-4.564046168308607,P1693,-5.478578914823531,825,141,26,0.18439716312056736
haze,3.0,3.0,-4.564046168308607,P1960,-6.61095670316427,1000,1000,916,0.916
haze,3.0,3.0,-4.564046168308607,P2002,-2.836374626600188,1000,1000,923,0.923
haze,3.0,3.0,-4.564046168308607,P2045,-9.808527291807252,1000,1000,773,0.773
haze,3.0,3.0,-4.564046168308607,P2210,0.2009017290919646,1000,1000,890,0.89
haze,3.0,3.0,-4.564046168308607,P2257,-7.981104136230549,1000,1000,881,0.881
haze,3.0,3.0,-4.564046168308607,P2278,-1.859477925139611,1000,1000,440,0.44
