distortion,level,level_numeric,snr_db_mean,name,ods_threshold,ods_f_score,snr_db
jpeg,3,3.0,14.437534838522705,P1216,20,0.4266071844724839,16.511966455284856
jpeg,3,3.0,14.437534838522705,P1242,175,0.2071661909769827,22.302436370903052
jpeg,3,3.0,14.437534838522705,P1358,160,0.1137793488128511,17.127109356163313
jpeg,3,3.0,14.437534838522705,P1522,123,0.0272572045487112,14.01442495693778
jpeg,3,3.0,14.437534838522705,P1676,168,0.0150746240707102,12.888667495155858
jpeg,3,3.0,14.437534838522705,P1693,220,1.0,11.89917676676072
jpeg,3,3.0,14.437534838522705,P1960,153,0.2727825328489993,12.494472471060412
jpeg,3,3.0,14.437534838522705,P2002,190,0.1775228727495058,14.424606798748435
jpeg,3,3.0,14.437534838522705,P2045,57,0.1880206942053991,13.153590935202292
jpeg,3,3.0,14.437534838522705,P2210,175,0.1266423971482684,17.620211272002603
jpeg,3,3.0,14.437534838522705,P2257,94,0.1141184034826248,12.708355565484656
jpeg,3,3.0,14.437534838522705,P2278,197,0.1166339655548288,15.718446459341957
jpeg,3,3.0,14.437534838522705,P2332,190,0.0335606736105155,16.060658861486566
jpeg,3,3.0,14.437534838522705,P2352,131,0.0058697439805115,14.761401762237089
jpeg,3,3.0,14.437534838522705,P2456,108,0.0080646584899277,11.882895850381365
jpeg,3,3.0,14.437534838522705,P2528,57,0.0248444394098852,14.288779035568524
jpeg,3,3.0,14.437534838522705,P2591,168,0.1051416376514412,12.975312662317304
jpeg,3,3.0,14.437534838522705,P2613,153,0.205978239484774,12.760416150328847
jpeg,3,3.0,14.437534838522705,P2724,190,0.0467494521548575,15.105169071196018
jpeg,3,3.0,14.437534838522705,P2754,160,0.0054622355478643,16.30736882517285
jpeg,5,5.0,16.218186348216353,P0063,205,0.1615556401253253,15.22161145451548
jpeg,5,5.0,16.218186348216353,P0081,131,0.0593366478462212,15.775098507539395
jpeg,5,5.0,16.218186348216353,P0198,138,0.3067621305257399,15.878326197566286
jpeg,5,5.0,16.218186348216353,P0308,20,0.126354071441173,15.952630746108074
jpeg,5,5.0,16.218186348216353,P0336,175,0.0957600704875285,15.431466880626031
jpeg,5,5.0,16.218186348216353,P0345,175,0.0706512075816379,14.53950428938654
