distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_dist_kp,n_good,good_ratio
haze,3.0,3.0,-4.564046168308607,P1207,7.549653330920897,93,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1216,7.036070236256017,155,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1242,0.1965581279511151,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1358,-1.324456802364888,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1522,-7.027910854028823,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1676,-1.5124002810591255,536,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1693,-5.478578914823531,825,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1960,-6.61095670316427,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2002,-2.836374626600188,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2045,-9.808527291807252,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2210,0.2009017290919646,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2257,-7.981104136230549,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2278,-1.859477925139611,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2332,-1.725239767634717,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2352,-3.732413907995245,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2456,-4.710043851043785,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2528,-5.419063470719349,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2591,-4.736694985989264,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2613,-10.050942226844713,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2724,-2.7860666967465297,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P2754,-0.6158405412213037,1000,0,0,0.0
jpeg,1,1.0,14.156771236721948,P0063,12.880987987334985,1000,1000,217,0.217
jpeg,1,1.0,14.156771236721948,P0081,14.045896539021728,1000,1000,218,0.218
jpeg,1,1.0,14.156771236721948,P0198,13.78651676991829,1000,1000,246,0.246
jpeg,1,1.0,14.156771236721948,P0308,14.365189247537948,1000,1000,67,0.067
jpeg,1,1.0,14.156771236721948,P0336,12.941758233226404,1000,1000,274,0.274
jpeg,1,1.0,14.156771236721948,P0345,13.41815877502608,1000,1000,134,0.134
jpeg,1,1.0,14.156771236721948,P0363,13.66072662833712,1000,1000,223,0.223
jpeg,1,1.0,14.156771236721948,P0368,14.039362094042158,1000,1000,162,0.162
jpeg,1,1.0,14.156771236721948,P0377,12.71685696798297,1000,1000,23,0.023
jpeg,1,1.0,14.156771236721948,P0452,12.760745540251593,1000,1000,281,0.281
jpeg,1,1.0,14.156771236721948,P0517,11.497973429717074,1000,1000,309,0.309
jpeg,1,1.0,14.156771236721948,P0565,12.47421476731246,1000,1000,227,0.227
jpeg,1,1.0,14.156771236721948,P0649,12.948701732098604,1000,1000,47,0.047
jpeg,1,1.0,14.156771236721948,P0699,17.60623824247475,1000,1000,300,0.3
jpeg,1,1.0,14.156771236721948,P0806,15.283626590737107,1000,1000,167,0.167
jpeg,1,1.0,14.156771236721948,P1003,11.844528598254646,1000,1000,168,0.168
jpeg,1,1.0,14.156771236721948,P1029,13.125964316633125,1000,1000,205,0.205
jpeg,1,1.0,14.156771236721948,P1148,19.57404175651671,417,1000,64,0.15347721822541965
jpeg,1,1.0,14.156771236721948,P1158,16.230063610418494,939,1002,30,0.03194888178913738
jpeg,1,1.0,14.156771236721948,P1207,11.959796701653444,93,72,0,0.0
jpeg,1,1.0,14.156771236721948,P1216,16.511817152095663,155,19,0,0.0
jpeg,1,1.0,14.156771236721948,P1242,22.176049414095537,1000,920,7,0.007608695652173913
jpeg,1,1.0,14.156771236721948,P1358,16.8551497994027,1000,1002,52,0.052
jpeg,1,1.0,14.156771236721948,P1522,13.90998162777426,1000,1000,92,0.092
jpeg,1,1.0,14.156771236721948,P1676,12.86641705622386,536,846,4,0.007462686567164179
jpeg,1,1.0,14.156771236721948,P1693,11.87820207737743,825,849,0,0.0
jpeg,1,1.0,14.156771236721948,P1960,12.104370556866924,1000,1000,397,0.397
jpeg,1,1.0,14.156771236721948,P2002,13.980686893327704,1000,1000,326,0.326
jpeg,1,1.0,14.156771236721948,P2045,12.84029835412397,1000,1000,208,0.208
jpeg,1,1.0,14.156771236721948,P2210,17.31171540937068,1000,1000,180,0.18
jpeg,1,1.0,14.156771236721948,P2257,12.477786333566554,1000,1000,233,0.233
jpeg,1,1.0,14.156771236721948,P2278,15.47051788661064,1000,1000,176,0.176
jpeg,1,1.0,14.156771236721948,P2332,15.559262764021968,1000,1000,210,0.21
jpeg,1,1.0,14.156771236721948,P2352,14.3263736278703,1000,1000,146,0.146
jpeg,1,1.0,14.156771236721948,P2456,11.425592311697876,1000,1000,264,0.264
jpeg,1,1.0,14.156771236721948,P2528,13.82672941577516,1000,1000,322,0.322
jpeg,1,1.0,14.156771236721948,P2591,12.762892477303488,1000,1000,233,0.233
jpeg,1,1.0,14.156771236721948,P2613,12.293558386398338,1000,1000,326,0.326
jpeg,1,1.0,14.156771236721948,P2724,14.616442957536703,1000,1000,158,0.158
jpeg,1,1.0,14.156771236721948,P2754,15.915656438942484,1000,1000,216,0.216
jpeg,3,3.0,14.437534838522705,P0063,13.26597144651027,1000,1000,257,0.257
jpeg,3,3.0,14.437534838522705,P0081,14.327205621608607,1000,1000,278,0.278
jpeg,3,3.0,14.437534838522705,P0198,14.23645499885524,1000,1000,258,0.258
jpeg,3,3.0,14.437534838522705,P0308,14.591782061686898,1000,1000,88,0.088
jpeg,3,3.0,14.437534838522705,P0336,13.228725369592524,1000,1000,307,0.307
jpeg,3,3.0,14.437534838522705,P0345,13.650884831185682,1000,1000,179,0.179
jpeg,3,3.0,14.437534838522705,P0363,13.943047174766216,1000,1000,243,0.243
jpeg,3,3.0,14.437534838522705,P0368,14.322564474215271,1000,1001,208,0.208
jpeg,3,3.0,14.437534838522705,P0377,12.850561137155095,1000,1000,29,0.029
jpeg,3,3.0,14.437534838522705,P0452,13.13674623577696,1000,1000,346,0.346
jpeg,3,3.0,14.437534838522705,P0517,11.875357942015674,1000,1000,361,0.361
jpeg,3,3.0,14.437534838522705,P0565,12.671571168913491,1000,1000,257,0.257
jpeg,3,3.0,14.437534838522705,P0649,13.19651833286214,1000,1001,64,0.064
jpeg,3,3.0,14.437534838522705,P0699,18.04340194052235,1000,1000,308,0.308
jpeg,3,3.0,14.437534838522705,P0806,15.582901859092535,1000,1000,212,0.212
jpeg,3,3.0,14.437534838522705,P1003,12.153999444162125,1000,1000,191,0.191
jpeg,3,3.0,14.437534838522705,P1029,13.491893305725958,1000,1000,240,0.24
jpeg,3,3.0,14.437534838522705,P1148,19.65723681904055,417,1000,71,0.17026378896882494
jpeg,3,3.0,14.437534838522705,P1158,16.30913732166165,939,1000,41,0.043663471778487756
jpeg,3,3.0,14.437534838522705,P1207,11.95996493382452,93,73,0,0.0
jpeg,3,3.0,14.437534838522705,P1216,16.511966455284856,155,27,0,0.0
jpeg,3,3.0,14.437534838522705,P1242,22.302436370903052,1000,1004,12,0.012
jpeg,3,3.0,14.437534838522705,P1358,17.127109356163313,1000,1001,66,0.066
